Spatial Dimension,ParentLocationCode,Continent,Has Chronic Respiratory Disease Guidelines?,Country Code,Has Cancer Guidelines?,Has Diabetes Guidelines?,Has Cardiovascular Disease Guidelines?
Armenia,EUR,Europe,Yes,ARM,No,Yes,Yes
Somalia,EMR,Eastern Mediterranean,No,SOM,No,No,No
Libya,EMR,Eastern Mediterranean,No,LBY,Yes,Yes,Yes
Australia,WPR,Western Pacific,Yes,AUS,Yes,Yes,Yes
Iran (Islamic Republic of),EMR,Eastern Mediterranean,Yes,IRN,Yes,Yes,Yes
Mauritius,AFR,Africa,Yes,MUS,Yes,Yes,Yes
Ghana,AFR,Africa,Yes,GHA,Yes,Yes,Yes
San Marino,EUR,Europe,No,SMR,Yes,No,Yes
Korea (the Republic of),WPR,Western Pacific,Yes,KOR,No,No,Yes
Estonia,EUR,Europe,Yes,EST,Yes,Yes,Yes
Saudi Arabia,EMR,Eastern Mediterranean,Yes,SAU,Yes,Yes,Yes
Japan,WPR,Western Pacific,No,JPN,Yes,Don't know,Yes
Montenegro,EUR,Europe,Don't know,MNE,Yes,Yes,Yes
Sri Lanka,SEAR,South-East Asia,Yes,LKA,Yes,Yes,Yes
Germany,EUR,Europe,Yes,DEU,Yes,Yes,Yes
Djibouti,EMR,Eastern Mediterranean,No,DJI,No,No,No
Sweden,EUR,Europe,Yes,SWE,Yes,Yes,Yes
Albania,EUR,Europe,Yes,ALB,Yes,Yes,Yes
Kazakhstan,EUR,Europe,Yes,KAZ,Yes,Yes,Yes
